GEO/TIME,Exp_2016,Imp_2016,gdp_curr_2016,pop_2016
Belgium,350559.4,344934.2,423048.4,11318.00
Bulgaria,30792.0,28716.0,48128.6,7135.25
CzechRepublic,140441.2,127228.1,176564.3,10577.00
Denmark,148690.0,131502.2,277489.1,5747.00
Germany(until1990formerterritoryoftheFRG),1450012.0,1199393.0,3144050.0,82500.00
Estonia,16663.7,15849.3,21098.3,1315.90
Ireland,335041.0,274398.0,275567.1,4700.13
Greece,53058.9,54317.3,174199.3,10760.60
Spain,368515.0,334767.0,1118522.0,46507.06
France,652178.0,695593.0,2228857.0,66955.20
Croatia,22733.2,21425.9,46382.1,4137.03
Italy,501084.7,444159.0,1680522.8,60611.40
Cyprus,11834.8,11976.4,18122.5,853.90
Latvia,14965.8,14742.4,24926.7,1952.60
Lithuania,28789.1,28289.2,38668.3,2868.23
Luxembourg,117282.5,98675.5,53004.8,591.00
Hungary,101831.0,90365.7,113730.8,9803.75
Malta,13986.7,12872.3,9926.6,439.94
Netherlands,579317.0,501969.0,702641.0,17075.00
Austria,184639.5,172780.5,353296.9,8772.71
Poland,222616.7,205375.9,425980.2,38436.00
Portugal,73958.4,72231.2,185179.5,10312.45
Romania,70174.6,71702.0,169771.5,19703.49
Slovenia,31386.3,27685.7,40418.1,2065.89
Slovakia,76791.6,73949.5,81154.0,5435.38
Finland,76834.0,79360.0,215773.0,5502.40
Sweden,205953.0,183443.4,465186.2,9975.34
UnitedKingdom,676939.0,726576.6,2395801.0,65839.00
Serbia,17316.4,19896.0,34616.6,7045.69
,,,,
,,,,
,,,,
